filepath,gt,model,transcript
samples/audios/diflow/2094-142345-0051.wav,samples/audios/prompt/2094-142345-0027.wav,diflow,no thank you i'll just look at the whelps and leave a message about them with your shepherd
samples/audios/ns2/1188-133604-0036.wav,samples/audios/prompt/1188-133604-0039.wav,ns2,in both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful
samples/audios/valle/2961-961-0021.wav,samples/audios/prompt/2961-961-0009.wav,valle,but i would not speak at the time because i wanted to refresh my memory
samples/audios/oz/2300-131720-0029.wav,samples/audios/prompt/2300-131720-0037.wav,oz,hence the edison electrolytic meter is no longer used despite its excellent qualities
samples/audios/ns2/237-134500-0036.wav,samples/audios/prompt/237-134500-0032.wav,ns2,i can't play with you like a little boy any more he said slowly that's what you miss marie
samples/audios/ns2/237-126133-0022.wav,samples/audios/prompt/237-134493-0015.wav,ns2,i didn't have any fears if i worked it rightly said the old gentleman complacently
samples/audios/sparktts/1089-134686-0005.wav,samples/audios/prompt/1089-134686-0037.wav,sparktts,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
samples/audios/voicecraft/1995-1837-0027.wav,samples/audios/prompt/1995-1836-0013.wav,voicecraft,on she hurried until sweeping down to the lagoon and the island lo the cotton lay before her
samples/audios/gt/1284-1180-0002.wav,samples/audios/prompt/1284-1180-0028.wav,gt,instead of shoes the old man wore boots with turnover tops and his blue coat had wide cuffs of gold braid
samples/audios/oz/260-123286-0002.wav,samples/audios/prompt/260-123286-0013.wav,oz,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
samples/audios/f5/2094-142345-0051.wav,samples/audios/prompt/2094-142345-0027.wav,f5,no thank you i'll just look at the whelps and leave a message about them with your shepherd
samples/audios/valle/237-126133-0022.wav,samples/audios/prompt/237-134493-0015.wav,valle,i didn't have any fears if i worked it rightly said the old gentleman complacently
samples/audios/oz/2830-3980-0062.wav,samples/audios/prompt/2830-3979-0003.wav,oz,not for a crown or a kingdom or our goodness but for our sins
samples/audios/gt/260-123286-0002.wav,samples/audios/prompt/260-123286-0013.wav,gt,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
samples/audios/voicecraft/1188-133604-0038.wav,samples/audios/prompt/1188-133604-0039.wav,voicecraft,but now here is a subject of which you will wonder at first why turner drew it at all
samples/audios/sparktts/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,sparktts,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/diflow/1284-1180-0031.wav,samples/audios/prompt/1284-1180-0031.wav,diflow,at the emerald city where our princess ozma lives green is the popular color
samples/audios/f5/237-126133-0022.wav,samples/audios/prompt/237-134493-0015.wav,f5,i didn't have any fears if i worked it rightly said the old gentleman complacently
samples/audios/oz/1284-1180-0002.wav,samples/audios/prompt/1284-1180-0028.wav,oz,instead of shoes the old man wore boots with turnover tops and his blue coat had wide cuffs of gold braid
samples/audios/diflow/1188-133604-0038.wav,samples/audios/prompt/1188-133604-0039.wav,diflow,but now here is a subject of which you will wonder at first why turner drew it at all
samples/audios/voicecraft/1320-122617-0041.wav,samples/audios/prompt/1320-122617-0026.wav,voicecraft,uncas cast his skin and stepped forth in his own beautiful proportions
samples/audios/diflow/121-127105-0000.wav,samples/audios/prompt/121-127105-0005.wav,diflow,it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention
samples/audios/ns2/2094-142345-0051.wav,samples/audios/prompt/2094-142345-0027.wav,ns2,no thank you i'll just look at the whelps and leave a message about them with your shepherd
samples/audios/oz/1284-1180-0031.wav,samples/audios/prompt/1284-1180-0031.wav,oz,at the emerald city where our princess ozma lives green is the popular color
samples/audios/voicecraft/3570-5694-0022.wav,samples/audios/prompt/3570-5696-0007.wav,voicecraft,the livery becomes obnoxious to nearly all who are required to wear it
samples/audios/gt/2830-3980-0062.wav,samples/audios/prompt/2830-3979-0003.wav,gt,not for a crown or a kingdom or our goodness but for our sins
samples/audios/gt/2300-131720-0006.wav,samples/audios/prompt/2300-131720-0005.wav,gt,there seems no good reason for believing that it will change
samples/audios/oz/121-127105-0000.wav,samples/audios/prompt/121-127105-0005.wav,oz,it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention
samples/audios/diflow/260-123286-0002.wav,samples/audios/prompt/260-123286-0013.wav,diflow,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
samples/audios/diflow/1995-1837-0027.wav,samples/audios/prompt/1995-1836-0013.wav,diflow,on she hurried until sweeping down to the lagoon and the island lo the cotton lay before her
