filepath,gt,model,transcript
samples/audios/valle/2094-142345-0036.wav,samples/audios/prompt/2094-142345-0024.wav,valle,nay dear aunt you never heard me say that all people are called to forsake their work and their families
samples/audios/gt/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,gt,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/f5/1089-134691-0022.wav,samples/audios/prompt/1089-134686-0017.wav,f5,he stood still in deference to their calls and parried their banter with easy words
samples/audios/voicecraft/2300-131720-0029.wav,samples/audios/prompt/2300-131720-0037.wav,voicecraft,hence the edison electrolytic meter is no longer used despite its excellent qualities
samples/audios/gt/1188-133604-0038.wav,samples/audios/prompt/1188-133604-0039.wav,gt,but now here is a subject of which you will wonder at first why turner drew it at all
samples/audios/ns2/2300-131720-0006.wav,samples/audios/prompt/2300-131720-0005.wav,ns2,there seems no good reason for believing that it will change
samples/audios/gt/237-126133-0022.wav,samples/audios/prompt/237-134493-0015.wav,gt,i didn't have any fears if i worked it rightly said the old gentleman complacently
samples/audios/gt/1284-1180-0031.wav,samples/audios/prompt/1284-1180-0031.wav,gt,at the emerald city where our princess ozma lives green is the popular color
samples/audios/valle/1284-1180-0031.wav,samples/audios/prompt/1284-1180-0031.wav,valle,at the emerald city where our princess ozma lives green is the popular color
samples/audios/f5/237-126133-0022.wav,samples/audios/prompt/237-134493-0015.wav,f5,i didn't have any fears if i worked it rightly said the old gentleman complacently
samples/audios/valle/1188-133604-0036.wav,samples/audios/prompt/1188-133604-0039.wav,valle,in both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful
samples/audios/ns2/1320-122617-0009.wav,samples/audios/prompt/1320-122617-0024.wav,ns2,i greatly mourn that one so well disposed should die in his ignorance and i have sought a goodly hymn can you lead me to him
samples/audios/diflow/3570-5695-0011.wav,samples/audios/prompt/3570-5696-0010.wav,diflow,it is evident therefore that the present trend of the development is in the direction of heightening the utility of conspicuous consumption as compared with leisure
samples/audios/gt/2094-142345-0036.wav,samples/audios/prompt/2094-142345-0024.wav,gt,nay dear aunt you never heard me say that all people are called to forsake their work and their families
samples/audios/oz/3570-5695-0011.wav,samples/audios/prompt/3570-5696-0010.wav,oz,it is evident therefore that the present trend of the development is in the direction of heightening the utility of conspicuous consumption as compared with leisure
samples/audios/sparktts/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,sparktts,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/valle/1580-141084-0023.wav,samples/audios/prompt/1580-141084-0002.wav,valle,in a few hours the examination would commence and he was still in the dilemma between making the facts public and allowing the culprit to compete for the valuable scholarship
samples/audios/f5/1320-122617-0009.wav,samples/audios/prompt/1320-122617-0024.wav,f5,i greatly mourn that one so well disposed should die in his ignorance and i have sought a goodly hymn can you lead me to him
samples/audios/valle/1089-134691-0022.wav,samples/audios/prompt/1089-134686-0017.wav,valle,he stood still in deference to their calls and parried their banter with easy words
samples/audios/sparktts/2300-131720-0029.wav,samples/audios/prompt/2300-131720-0037.wav,sparktts,hence the edison electrolytic meter is no longer used despite its excellent qualities
samples/audios/voicecraft/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,voicecraft,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/voicecraft/1089-134686-0005.wav,samples/audios/prompt/1089-134686-0037.wav,voicecraft,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
samples/audios/ns2/2830-3980-0062.wav,samples/audios/prompt/2830-3979-0003.wav,ns2,not for a crown or a kingdom or our goodness but for our sins
samples/audios/f5/1580-141084-0002.wav,samples/audios/prompt/1580-141084-0011.wav,f5,this set of rooms is quite the oldest in the college and it is not unusual for visitors to go over them
samples/audios/gt/3570-5694-0022.wav,samples/audios/prompt/3570-5696-0007.wav,gt,the livery becomes obnoxious to nearly all who are required to wear it
samples/audios/ns2/3570-5695-0011.wav,samples/audios/prompt/3570-5696-0010.wav,ns2,it is evident therefore that the present trend of the development is in the direction of heightening the utility of conspicuous consumption as compared with leisure
samples/audios/oz/1188-133604-0038.wav,samples/audios/prompt/1188-133604-0039.wav,oz,but now here is a subject of which you will wonder at first why turner drew it at all
samples/audios/f5/2300-131720-0029.wav,samples/audios/prompt/2300-131720-0037.wav,f5,hence the edison electrolytic meter is no longer used despite its excellent qualities
samples/audios/voicecraft/2830-3980-0062.wav,samples/audios/prompt/2830-3979-0003.wav,voicecraft,not for a crown or a kingdom or our goodness but for our sins
samples/audios/sparktts/2094-142345-0036.wav,samples/audios/prompt/2094-142345-0024.wav,sparktts,nay dear aunt you never heard me say that all people are called to forsake their work and their families
