filepath,gt,model,transcript
samples/audios/ns2/121-127105-0000.wav,samples/audios/prompt/121-127105-0005.wav,ns2,it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention
samples/audios/diflow/1580-141084-0023.wav,samples/audios/prompt/1580-141084-0002.wav,diflow,in a few hours the examination would commence and he was still in the dilemma between making the facts public and allowing the culprit to compete for the valuable scholarship
samples/audios/voicecraft/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,voicecraft,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/f5/2300-131720-0006.wav,samples/audios/prompt/2300-131720-0005.wav,f5,there seems no good reason for believing that it will change
samples/audios/f5/1284-1180-0002.wav,samples/audios/prompt/1284-1180-0028.wav,f5,instead of shoes the old man wore boots with turnover tops and his blue coat had wide cuffs of gold braid
samples/audios/oz/1284-1180-0002.wav,samples/audios/prompt/1284-1180-0028.wav,oz,instead of shoes the old man wore boots with turnover tops and his blue coat had wide cuffs of gold braid
samples/audios/sparktts/1995-1837-0027.wav,samples/audios/prompt/1995-1836-0013.wav,sparktts,on she hurried until sweeping down to the lagoon and the island lo the cotton lay before her
samples/audios/diflow/3570-5695-0011.wav,samples/audios/prompt/3570-5696-0010.wav,diflow,it is evident therefore that the present trend of the development is in the direction of heightening the utility of conspicuous consumption as compared with leisure
samples/audios/gt/1188-133604-0036.wav,samples/audios/prompt/1188-133604-0039.wav,gt,in both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful
samples/audios/f5/1089-134686-0005.wav,samples/audios/prompt/1089-134686-0037.wav,f5,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
samples/audios/voicecraft/2300-131720-0029.wav,samples/audios/prompt/2300-131720-0037.wav,voicecraft,hence the edison electrolytic meter is no longer used despite its excellent qualities
samples/audios/diflow/260-123286-0002.wav,samples/audios/prompt/260-123286-0013.wav,diflow,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
samples/audios/voicecraft/1580-141084-0023.wav,samples/audios/prompt/1580-141084-0002.wav,voicecraft,in a few hours the examination would commence and he was still in the dilemma between making the facts public and allowing the culprit to compete for the valuable scholarship
samples/audios/gt/237-134500-0036.wav,samples/audios/prompt/237-134500-0032.wav,gt,i can't play with you like a little boy any more he said slowly that's what you miss marie
samples/audios/diflow/1580-141084-0002.wav,samples/audios/prompt/1580-141084-0011.wav,diflow,this set of rooms is quite the oldest in the college and it is not unusual for visitors to go over them
samples/audios/f5/260-123286-0002.wav,samples/audios/prompt/260-123286-0013.wav,f5,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
samples/audios/voicecraft/260-123440-0011.wav,samples/audios/prompt/260-123440-0020.wav,voicecraft,no i've made up my mind about it if i'm mabel i'll stay down here
samples/audios/sparktts/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,sparktts,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/voicecraft/3570-5695-0011.wav,samples/audios/prompt/3570-5696-0010.wav,voicecraft,it is evident therefore that the present trend of the development is in the direction of heightening the utility of conspicuous consumption as compared with leisure
samples/audios/oz/260-123286-0002.wav,samples/audios/prompt/260-123286-0013.wav,oz,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
samples/audios/diflow/237-126133-0022.wav,samples/audios/prompt/237-134493-0015.wav,diflow,i didn't have any fears if i worked it rightly said the old gentleman complacently
samples/audios/valle/1089-134686-0005.wav,samples/audios/prompt/1089-134686-0037.wav,valle,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
samples/audios/valle/237-126133-0022.wav,samples/audios/prompt/237-134493-0015.wav,valle,i didn't have any fears if i worked it rightly said the old gentleman complacently
samples/audios/voicecraft/2961-961-0021.wav,samples/audios/prompt/2961-961-0009.wav,voicecraft,but i would not speak at the time because i wanted to refresh my memory
samples/audios/ns2/1580-141084-0023.wav,samples/audios/prompt/1580-141084-0002.wav,ns2,in a few hours the examination would commence and he was still in the dilemma between making the facts public and allowing the culprit to compete for the valuable scholarship
samples/audios/valle/1580-141084-0023.wav,samples/audios/prompt/1580-141084-0002.wav,valle,in a few hours the examination would commence and he was still in the dilemma between making the facts public and allowing the culprit to compete for the valuable scholarship
samples/audios/diflow/1320-122617-0041.wav,samples/audios/prompt/1320-122617-0026.wav,diflow,uncas cast his skin and stepped forth in his own beautiful proportions
samples/audios/diflow/1188-133604-0036.wav,samples/audios/prompt/1188-133604-0039.wav,diflow,in both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful
samples/audios/diflow/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,diflow,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/diflow/1089-134686-0005.wav,samples/audios/prompt/1089-134686-0037.wav,diflow,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
