filepath,gt,model,transcript
samples/audios/diflow/121-121726-0001.wav,samples/audios/prompt/121-127105-0028.wav,diflow,harangue the tiresome product of a tireless tongue
samples/audios/diflow/1284-1180-0031.wav,samples/audios/prompt/1284-1180-0031.wav,diflow,at the emerald city where our princess ozma lives green is the popular color
samples/audios/voicecraft/2961-961-0021.wav,samples/audios/prompt/2961-961-0009.wav,voicecraft,but i would not speak at the time because i wanted to refresh my memory
samples/audios/valle/1089-134691-0022.wav,samples/audios/prompt/1089-134686-0017.wav,valle,he stood still in deference to their calls and parried their banter with easy words
samples/audios/voicecraft/2094-142345-0036.wav,samples/audios/prompt/2094-142345-0024.wav,voicecraft,nay dear aunt you never heard me say that all people are called to forsake their work and their families
samples/audios/diflow/3570-5694-0022.wav,samples/audios/prompt/3570-5696-0007.wav,diflow,the livery becomes obnoxious to nearly all who are required to wear it
samples/audios/ns2/1580-141084-0002.wav,samples/audios/prompt/1580-141084-0011.wav,ns2,this set of rooms is quite the oldest in the college and it is not unusual for visitors to go over them
samples/audios/diflow/237-126133-0022.wav,samples/audios/prompt/237-134493-0015.wav,diflow,i didn't have any fears if i worked it rightly said the old gentleman complacently
samples/audios/voicecraft/1284-1180-0031.wav,samples/audios/prompt/1284-1180-0031.wav,voicecraft,at the emerald city where our princess ozma lives green is the popular color
samples/audios/oz/1995-1837-0027.wav,samples/audios/prompt/1995-1836-0013.wav,oz,on she hurried until sweeping down to the lagoon and the island lo the cotton lay before her
samples/audios/diflow/260-123440-0011.wav,samples/audios/prompt/260-123440-0020.wav,diflow,no i've made up my mind about it if i'm mabel i'll stay down here
samples/audios/ns2/1995-1826-0024.wav,samples/audios/prompt/1995-1826-0000.wav,ns2,the golden fleece it's the silver fleece he harkened
samples/audios/sparktts/1221-135767-0010.wav,samples/audios/prompt/1221-135766-0004.wav,sparktts,she screamed and shouted too with a terrific volume of sound which doubtless caused the hearts of the fugitives to quake within them
samples/audios/ns2/1089-134691-0022.wav,samples/audios/prompt/1089-134686-0017.wav,ns2,he stood still in deference to their calls and parried their banter with easy words
samples/audios/valle/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,valle,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/diflow/1320-122617-0009.wav,samples/audios/prompt/1320-122617-0024.wav,diflow,i greatly mourn that one so well disposed should die in his ignorance and i have sought a goodly hymn can you lead me to him
samples/audios/valle/2961-961-0014.wav,samples/audios/prompt/2961-960-0018.wav,valle,nine thousand years have elapsed since she founded yours and eight thousand since she founded ours as our annals record
samples/audios/f5/2961-961-0014.wav,samples/audios/prompt/2961-960-0018.wav,f5,nine thousand years have elapsed since she founded yours and eight thousand since she founded ours as our annals record
samples/audios/gt/237-126133-0022.wav,samples/audios/prompt/237-134493-0015.wav,gt,i didn't have any fears if i worked it rightly said the old gentleman complacently
samples/audios/valle/3570-5694-0022.wav,samples/audios/prompt/3570-5696-0007.wav,valle,the livery becomes obnoxious to nearly all who are required to wear it
samples/audios/valle/2961-961-0021.wav,samples/audios/prompt/2961-961-0009.wav,valle,but i would not speak at the time because i wanted to refresh my memory
samples/audios/oz/260-123286-0002.wav,samples/audios/prompt/260-123286-0013.wav,oz,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
samples/audios/voicecraft/1089-134686-0005.wav,samples/audios/prompt/1089-134686-0037.wav,voicecraft,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
samples/audios/valle/2094-142345-0051.wav,samples/audios/prompt/2094-142345-0027.wav,valle,no thank you i'll just look at the whelps and leave a message about them with your shepherd
samples/audios/sparktts/1089-134686-0005.wav,samples/audios/prompt/1089-134686-0037.wav,sparktts,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
samples/audios/f5/1995-1826-0024.wav,samples/audios/prompt/1995-1826-0000.wav,f5,the golden fleece it's the silver fleece he harkened
samples/audios/sparktts/237-134500-0036.wav,samples/audios/prompt/237-134500-0032.wav,sparktts,i can't play with you like a little boy any more he said slowly that's what you miss marie
samples/audios/oz/1284-1180-0031.wav,samples/audios/prompt/1284-1180-0031.wav,oz,at the emerald city where our princess ozma lives green is the popular color
samples/audios/sparktts/1284-1180-0002.wav,samples/audios/prompt/1284-1180-0028.wav,sparktts,instead of shoes the old man wore boots with turnover tops and his blue coat had wide cuffs of gold braid
samples/audios/gt/3570-5695-0011.wav,samples/audios/prompt/3570-5696-0010.wav,gt,it is evident therefore that the present trend of the development is in the direction of heightening the utility of conspicuous consumption as compared with leisure
