filepath,gt,model,transcript
samples/audios/ns2/1580-141084-0002.wav,samples/audios/prompt/1580-141084-0011.wav,ns2,this set of rooms is quite the oldest in the college and it is not unusual for visitors to go over them
samples/audios/diflow/2094-142345-0051.wav,samples/audios/prompt/2094-142345-0027.wav,diflow,no thank you i'll just look at the whelps and leave a message about them with your shepherd
samples/audios/oz/2300-131720-0006.wav,samples/audios/prompt/2300-131720-0005.wav,oz,there seems no good reason for believing that it will change
samples/audios/valle/1089-134686-0005.wav,samples/audios/prompt/1089-134686-0037.wav,valle,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
samples/audios/f5/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,f5,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/voicecraft/1995-1826-0024.wav,samples/audios/prompt/1995-1826-0000.wav,voicecraft,the golden fleece it's the silver fleece he harkened
samples/audios/diflow/121-127105-0000.wav,samples/audios/prompt/121-127105-0005.wav,diflow,it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention
samples/audios/valle/121-121726-0001.wav,samples/audios/prompt/121-127105-0028.wav,valle,harangue the tiresome product of a tireless tongue
samples/audios/ns2/3570-5694-0022.wav,samples/audios/prompt/3570-5696-0007.wav,ns2,the livery becomes obnoxious to nearly all who are required to wear it
samples/audios/voicecraft/1320-122617-0041.wav,samples/audios/prompt/1320-122617-0026.wav,voicecraft,uncas cast his skin and stepped forth in his own beautiful proportions
samples/audios/f5/237-134500-0036.wav,samples/audios/prompt/237-134500-0032.wav,f5,i can't play with you like a little boy any more he said slowly that's what you miss marie
samples/audios/diflow/1284-1180-0002.wav,samples/audios/prompt/1284-1180-0028.wav,diflow,instead of shoes the old man wore boots with turnover tops and his blue coat had wide cuffs of gold braid
samples/audios/sparktts/2300-131720-0006.wav,samples/audios/prompt/2300-131720-0005.wav,sparktts,there seems no good reason for believing that it will change
samples/audios/gt/1320-122617-0041.wav,samples/audios/prompt/1320-122617-0026.wav,gt,uncas cast his skin and stepped forth in his own beautiful proportions
samples/audios/voicecraft/260-123286-0002.wav,samples/audios/prompt/260-123286-0013.wav,voicecraft,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
samples/audios/diflow/121-121726-0001.wav,samples/audios/prompt/121-127105-0028.wav,diflow,harangue the tiresome product of a tireless tongue
samples/audios/ns2/2094-142345-0051.wav,samples/audios/prompt/2094-142345-0027.wav,ns2,no thank you i'll just look at the whelps and leave a message about them with your shepherd
samples/audios/sparktts/1320-122617-0041.wav,samples/audios/prompt/1320-122617-0026.wav,sparktts,uncas cast his skin and stepped forth in his own beautiful proportions
samples/audios/voicecraft/121-121726-0001.wav,samples/audios/prompt/121-127105-0028.wav,voicecraft,harangue the tiresome product of a tireless tongue
samples/audios/oz/2961-961-0021.wav,samples/audios/prompt/2961-961-0009.wav,oz,but i would not speak at the time because i wanted to refresh my memory
samples/audios/diflow/2300-131720-0029.wav,samples/audios/prompt/2300-131720-0037.wav,diflow,hence the edison electrolytic meter is no longer used despite its excellent qualities
samples/audios/voicecraft/2094-142345-0036.wav,samples/audios/prompt/2094-142345-0024.wav,voicecraft,nay dear aunt you never heard me say that all people are called to forsake their work and their families
samples/audios/diflow/2961-961-0021.wav,samples/audios/prompt/2961-961-0009.wav,diflow,but i would not speak at the time because i wanted to refresh my memory
samples/audios/oz/121-127105-0000.wav,samples/audios/prompt/121-127105-0005.wav,oz,it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention
samples/audios/valle/2961-961-0021.wav,samples/audios/prompt/2961-961-0009.wav,valle,but i would not speak at the time because i wanted to refresh my memory
samples/audios/gt/2830-3980-0062.wav,samples/audios/prompt/2830-3979-0003.wav,gt,not for a crown or a kingdom or our goodness but for our sins
samples/audios/voicecraft/3570-5695-0011.wav,samples/audios/prompt/3570-5696-0010.wav,voicecraft,it is evident therefore that the present trend of the development is in the direction of heightening the utility of conspicuous consumption as compared with leisure
samples/audios/valle/1580-141084-0002.wav,samples/audios/prompt/1580-141084-0011.wav,valle,this set of rooms is quite the oldest in the college and it is not unusual for visitors to go over them
samples/audios/diflow/1320-122617-0009.wav,samples/audios/prompt/1320-122617-0024.wav,diflow,i greatly mourn that one so well disposed should die in his ignorance and i have sought a goodly hymn can you lead me to him
samples/audios/voicecraft/2961-961-0014.wav,samples/audios/prompt/2961-960-0018.wav,voicecraft,nine thousand years have elapsed since she founded yours and eight thousand since she founded ours as our annals record
