filepath,gt,model,transcript
samples/audios/diflow/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,diflow,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/gt/2094-142345-0051.wav,samples/audios/prompt/2094-142345-0027.wav,gt,no thank you i'll just look at the whelps and leave a message about them with your shepherd
samples/audios/voicecraft/1284-1180-0002.wav,samples/audios/prompt/1284-1180-0028.wav,voicecraft,instead of shoes the old man wore boots with turnover tops and his blue coat had wide cuffs of gold braid
samples/audios/oz/3570-5695-0011.wav,samples/audios/prompt/3570-5696-0010.wav,oz,it is evident therefore that the present trend of the development is in the direction of heightening the utility of conspicuous consumption as compared with leisure
samples/audios/gt/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,gt,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/ns2/1995-1837-0027.wav,samples/audios/prompt/1995-1836-0013.wav,ns2,on she hurried until sweeping down to the lagoon and the island lo the cotton lay before her
samples/audios/gt/2094-142345-0036.wav,samples/audios/prompt/2094-142345-0024.wav,gt,nay dear aunt you never heard me say that all people are called to forsake their work and their families
samples/audios/gt/1188-133604-0036.wav,samples/audios/prompt/1188-133604-0039.wav,gt,in both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful
samples/audios/sparktts/2961-961-0014.wav,samples/audios/prompt/2961-960-0018.wav,sparktts,nine thousand years have elapsed since she founded yours and eight thousand since she founded ours as our annals record
samples/audios/f5/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,f5,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/gt/1320-122617-0041.wav,samples/audios/prompt/1320-122617-0026.wav,gt,uncas cast his skin and stepped forth in his own beautiful proportions
samples/audios/voicecraft/1995-1837-0027.wav,samples/audios/prompt/1995-1836-0013.wav,voicecraft,on she hurried until sweeping down to the lagoon and the island lo the cotton lay before her
samples/audios/voicecraft/2300-131720-0006.wav,samples/audios/prompt/2300-131720-0005.wav,voicecraft,there seems no good reason for believing that it will change
samples/audios/valle/237-134500-0036.wav,samples/audios/prompt/237-134500-0032.wav,valle,i can't play with you like a little boy any more he said slowly that's what you miss marie
samples/audios/valle/2830-3979-0009.wav,samples/audios/prompt/2830-3980-0011.wav,valle,it presents like no other of luther's writings the central thought of christianity the justification of the sinner for the sake of christ's merits alone
samples/audios/valle/2094-142345-0036.wav,samples/audios/prompt/2094-142345-0024.wav,valle,nay dear aunt you never heard me say that all people are called to forsake their work and their families
samples/audios/valle/1089-134686-0005.wav,samples/audios/prompt/1089-134686-0037.wav,valle,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
samples/audios/diflow/121-127105-0000.wav,samples/audios/prompt/121-127105-0005.wav,diflow,it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention
samples/audios/diflow/1089-134691-0022.wav,samples/audios/prompt/1089-134686-0017.wav,diflow,he stood still in deference to their calls and parried their banter with easy words
samples/audios/voicecraft/2830-3980-0062.wav,samples/audios/prompt/2830-3979-0003.wav,voicecraft,not for a crown or a kingdom or our goodness but for our sins
samples/audios/voicecraft/2830-3979-0009.wav,samples/audios/prompt/2830-3980-0011.wav,voicecraft,it presents like no other of luther's writings the central thought of christianity the justification of the sinner for the sake of christ's merits alone
samples/audios/valle/1320-122617-0041.wav,samples/audios/prompt/1320-122617-0026.wav,valle,uncas cast his skin and stepped forth in his own beautiful proportions
samples/audios/ns2/121-121726-0001.wav,samples/audios/prompt/121-127105-0028.wav,ns2,harangue the tiresome product of a tireless tongue
samples/audios/f5/2300-131720-0006.wav,samples/audios/prompt/2300-131720-0005.wav,f5,there seems no good reason for believing that it will change
samples/audios/f5/237-134500-0036.wav,samples/audios/prompt/237-134500-0032.wav,f5,i can't play with you like a little boy any more he said slowly that's what you miss marie
samples/audios/diflow/2830-3979-0009.wav,samples/audios/prompt/2830-3980-0011.wav,diflow,it presents like no other of luther's writings the central thought of christianity the justification of the sinner for the sake of christ's merits alone
samples/audios/f5/2961-961-0021.wav,samples/audios/prompt/2961-961-0009.wav,f5,but i would not speak at the time because i wanted to refresh my memory
samples/audios/oz/1284-1180-0031.wav,samples/audios/prompt/1284-1180-0031.wav,oz,at the emerald city where our princess ozma lives green is the popular color
samples/audios/ns2/1089-134691-0022.wav,samples/audios/prompt/1089-134686-0017.wav,ns2,he stood still in deference to their calls and parried their banter with easy words
samples/audios/ns2/3570-5694-0022.wav,samples/audios/prompt/3570-5696-0007.wav,ns2,the livery becomes obnoxious to nearly all who are required to wear it
