filepath,gt,model,transcript
samples/audios/valle/2961-961-0014.wav,samples/audios/prompt/2961-960-0018.wav,valle,nine thousand years have elapsed since she founded yours and eight thousand since she founded ours as our annals record
samples/audios/valle/1320-122617-0009.wav,samples/audios/prompt/1320-122617-0024.wav,valle,i greatly mourn that one so well disposed should die in his ignorance and i have sought a goodly hymn can you lead me to him
samples/audios/diflow/1188-133604-0036.wav,samples/audios/prompt/1188-133604-0039.wav,diflow,in both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful
samples/audios/gt/1284-1180-0031.wav,samples/audios/prompt/1284-1180-0031.wav,gt,at the emerald city where our princess ozma lives green is the popular color
samples/audios/gt/237-134500-0036.wav,samples/audios/prompt/237-134500-0032.wav,gt,i can't play with you like a little boy any more he said slowly that's what you miss marie
samples/audios/valle/1089-134686-0005.wav,samples/audios/prompt/1089-134686-0037.wav,valle,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
samples/audios/diflow/1188-133604-0038.wav,samples/audios/prompt/1188-133604-0039.wav,diflow,but now here is a subject of which you will wonder at first why turner drew it at all
samples/audios/sparktts/2830-3980-0062.wav,samples/audios/prompt/2830-3979-0003.wav,sparktts,not for a crown or a kingdom or our goodness but for our sins
samples/audios/oz/2830-3979-0009.wav,samples/audios/prompt/2830-3980-0011.wav,oz,it presents like no other of luther's writings the central thought of christianity the justification of the sinner for the sake of christ's merits alone
samples/audios/sparktts/2300-131720-0006.wav,samples/audios/prompt/2300-131720-0005.wav,sparktts,there seems no good reason for believing that it will change
samples/audios/f5/2961-961-0014.wav,samples/audios/prompt/2961-960-0018.wav,f5,nine thousand years have elapsed since she founded yours and eight thousand since she founded ours as our annals record
samples/audios/gt/121-121726-0001.wav,samples/audios/prompt/121-127105-0028.wav,gt,harangue the tiresome product of a tireless tongue
samples/audios/voicecraft/1221-135767-0005.wav,samples/audios/prompt/1221-135766-0014.wav,voicecraft,it was the scarlet letter in another form the scarlet letter endowed with life
samples/audios/ns2/121-121726-0001.wav,samples/audios/prompt/121-127105-0028.wav,ns2,harangue the tiresome product of a tireless tongue
samples/audios/f5/121-127105-0000.wav,samples/audios/prompt/121-127105-0005.wav,f5,it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention
samples/audios/gt/1188-133604-0036.wav,samples/audios/prompt/1188-133604-0039.wav,gt,in both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful
samples/audios/ns2/1221-135767-0010.wav,samples/audios/prompt/1221-135766-0004.wav,ns2,she screamed and shouted too with a terrific volume of sound which doubtless caused the hearts of the fugitives to quake within them
samples/audios/valle/2300-131720-0006.wav,samples/audios/prompt/2300-131720-0005.wav,valle,there seems no good reason for believing that it will change
samples/audios/sparktts/3570-5694-0022.wav,samples/audios/prompt/3570-5696-0007.wav,sparktts,the livery becomes obnoxious to nearly all who are required to wear it
samples/audios/diflow/121-127105-0000.wav,samples/audios/prompt/121-127105-0005.wav,diflow,it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention
samples/audios/oz/1580-141084-0023.wav,samples/audios/prompt/1580-141084-0002.wav,oz,in a few hours the examination would commence and he was still in the dilemma between making the facts public and allowing the culprit to compete for the valuable scholarship
samples/audios/voicecraft/1284-1180-0031.wav,samples/audios/prompt/1284-1180-0031.wav,voicecraft,at the emerald city where our princess ozma lives green is the popular color
samples/audios/diflow/3570-5694-0022.wav,samples/audios/prompt/3570-5696-0007.wav,diflow,the livery becomes obnoxious to nearly all who are required to wear it
samples/audios/voicecraft/1089-134691-0022.wav,samples/audios/prompt/1089-134686-0017.wav,voicecraft,he stood still in deference to their calls and parried their banter with easy words
samples/audios/valle/1188-133604-0038.wav,samples/audios/prompt/1188-133604-0039.wav,valle,but now here is a subject of which you will wonder at first why turner drew it at all
samples/audios/ns2/237-134500-0036.wav,samples/audios/prompt/237-134500-0032.wav,ns2,i can't play with you like a little boy any more he said slowly that's what you miss marie
samples/audios/voicecraft/1320-122617-0009.wav,samples/audios/prompt/1320-122617-0024.wav,voicecraft,i greatly mourn that one so well disposed should die in his ignorance and i have sought a goodly hymn can you lead me to him
samples/audios/f5/2830-3980-0062.wav,samples/audios/prompt/2830-3979-0003.wav,f5,not for a crown or a kingdom or our goodness but for our sins
samples/audios/voicecraft/3570-5695-0011.wav,samples/audios/prompt/3570-5696-0010.wav,voicecraft,it is evident therefore that the present trend of the development is in the direction of heightening the utility of conspicuous consumption as compared with leisure
samples/audios/diflow/1580-141084-0002.wav,samples/audios/prompt/1580-141084-0011.wav,diflow,this set of rooms is quite the oldest in the college and it is not unusual for visitors to go over them
