gt_name,prompt_name,text
1089-134691-0022.wav,1089-134686-0017.wav,he stood still in deference to their calls and parried their banter with easy words
1089-134686-0005.wav,1089-134686-0037.wav,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
1188-133604-0038.wav,1188-133604-0039.wav,but now here is a subject of which you will wonder at first why turner drew it at all
1188-133604-0036.wav,1188-133604-0039.wav,in both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful
121-121726-0001.wav,121-127105-0028.wav,harangue the tiresome product of a tireless tongue
121-127105-0000.wav,121-127105-0005.wav,it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention
1221-135767-0005.wav,1221-135766-0014.wav,it was the scarlet letter in another form the scarlet letter endowed with life
1221-135767-0010.wav,1221-135766-0004.wav,she screamed and shouted too with a terrific volume of sound which doubtless caused the hearts of the fugitives to quake within them
1284-1180-0031.wav,1284-1180-0031.wav,at the emerald city where our princess ozma lives green is the popular color
1284-1180-0002.wav,1284-1180-0028.wav,instead of shoes the old man wore boots with turnover tops and his blue coat had wide cuffs of gold braid
1320-122617-0041.wav,1320-122617-0026.wav,uncas cast his skin and stepped forth in his own beautiful proportions
1320-122617-0009.wav,1320-122617-0024.wav,i greatly mourn that one so well disposed should die in his ignorance and i have sought a goodly hymn can you lead me to him
1580-141084-0002.wav,1580-141084-0011.wav,this set of rooms is quite the oldest in the college and it is not unusual for visitors to go over them
1580-141084-0023.wav,1580-141084-0002.wav,in a few hours the examination would commence and he was still in the dilemma between making the facts public and allowing the culprit to compete for the valuable scholarship
1995-1826-0024.wav,1995-1826-0000.wav,the golden fleece it's the silver fleece he harkened
1995-1837-0027.wav,1995-1836-0013.wav,on she hurried until sweeping down to the lagoon and the island lo the cotton lay before her
2094-142345-0051.wav,2094-142345-0027.wav,no thank you i'll just look at the whelps and leave a message about them with your shepherd
2094-142345-0036.wav,2094-142345-0024.wav,nay dear aunt you never heard me say that all people are called to forsake their work and their families
2300-131720-0006.wav,2300-131720-0005.wav,there seems no good reason for believing that it will change
2300-131720-0029.wav,2300-131720-0037.wav,hence the edison electrolytic meter is no longer used despite its excellent qualities
237-126133-0022.wav,237-134493-0015.wav,i didn't have any fears if i worked it rightly said the old gentleman complacently
237-134500-0036.wav,237-134500-0032.wav,i can't play with you like a little boy any more he said slowly that's what you miss marie
260-123440-0011.wav,260-123440-0020.wav,no i've made up my mind about it if i'm mabel i'll stay down here
260-123286-0002.wav,260-123286-0013.wav,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
2830-3980-0062.wav,2830-3979-0003.wav,not for a crown or a kingdom or our goodness but for our sins
2830-3979-0009.wav,2830-3980-0011.wav,it presents like no other of luther's writings the central thought of christianity the justification of the sinner for the sake of christ's merits alone
2961-961-0021.wav,2961-961-0009.wav,but i would not speak at the time because i wanted to refresh my memory
2961-961-0014.wav,2961-960-0018.wav,nine thousand years have elapsed since she founded yours and eight thousand since she founded ours as our annals record
3570-5694-0022.wav,3570-5696-0007.wav,the livery becomes obnoxious to nearly all who are required to wear it
3570-5695-0011.wav,3570-5696-0010.wav,it is evident therefore that the present trend of the development is in the direction of heightening the utility of conspicuous consumption as compared with leisure
